奉恩將軍西清額,旭英第七子。乾隆四十九年，封奉恩將軍。嘉慶五年，卒。
三等輔國將軍伯奇，額克親第三子。順治六年，封三等輔國將軍。康熙九年，卒。
三等奉國將軍阿爾巴，伯奇第二子。康熙十一年，襲三等奉國將軍。三十七年，緣事革退。
三等奉國將軍阿爾圖，伯奇第六子。康熙十八年，封三等奉國將軍。三十七年，緣事革退。
三等輔國將軍伯爾赫宜，額克親第四子。順治六年，封三等輔國將軍。康熙二十八年，緣事革退。
三等奉國將軍伯爾森，伯爾赫宜第二子。康熙十七年，封三等奉國將軍。三十七年，緣事革退。
三等輔國將軍伯赫，額克親第八子。康熙八年，封三等輔國將軍。二十一年，緣事革退。
輔國公巴穆布爾善，塔拜第四子。天命二年十月初十日丑時生，母嫡妻烏蘇氏，岱蘇之女；崇德四年，襲三等奉國將軍。順治元年，以功晉二等。四年，晉一等。六年，晉三等鎮國將軍。八年，晉輔國公。康熙五年，革爵。八年五月，以罪處死，子孫黜宗室。嫡妻納喇氏，薩諸祜之女；繼妻富察氏，內大臣哈錫屯之女；妾李氏，李成茂之女；妾吳氏。十四子：長子庫德宜，次子路德宜，三子邦圖，四子巴爾岱，五子已革輔國將軍塞圖，六子國禮，七子拜新，八子鐸禮，九子博禮，十子已革三等侍衛七十五，十一子常成，十二子博爾敦，十三子麟吉，十四子觀林保。 &H`jL4S 
三等輔國將軍巴爾岱，巴穆布爾善第四子。順治十四年，封三等輔國將軍。康熙八年，以父罪革爵。
三等輔國將軍塞圖，巴穆布爾善第五子。順治十六年，封三等輔國將軍。康熙八年，以父罪革爵。
輔國恪僖公拔都海，塔拜第六子。天命七年九月十四日巳時生，母嫡妻烏蘇氏，岱蘇之女；順治二年，封奉恩將軍。六年，晉三等鎮國將軍。八年，晉輔國公。十七年四月初九日巳時，卒。諡曰恪僖。嫡妻扎庫塔氏，輕車都尉拜察庫巴宴之女；繼妻雅爾祜覺羅氏，散秩大臣琶克齊之女。四子：長子輔國將軍席爾圖，次子納爾圖，三子追削輔國將軍。 "\o+v|; 
三等輔國將軍席爾圖，拔都海第一子。順治十一年，封三等輔國將軍。康熙元年，卒。
三等輔國將軍博爾都，拔都海第三子。順治十七年，封三等輔國將軍。康熙八年，以罪革退。十九年，復原封。三十六年，卒。尋追削封爵。
三等奉國將軍時通，博爾都第五子。康熙五十二年，襲三等奉國將軍。乾隆十六年，卒。
奉恩將軍七福，時通第三子。乾隆十七年，襲奉恩將軍。五十五年，卒。
奉恩懷儀將軍喇都海，塔拜第七子。天命八年十月十七日辰時生，母嫡妻烏蘇氏，岱蘇之女；順治二年，封奉恩將軍。六年三月初四日巳時，卒。諡曰懷儀。嫡妻博爾濟吉特氏，男布顏圖之女。一子：喇蘇。
輔國悼殤將軍巴特瑪費揚武，塔拜第八子。天命十年五月二十九日申時生，母嫡妻烏蘇氏，岱蘇之女；順治二年，封奉恩將軍。六年一月初七日申時，卒。十年，追封輔國將軍。諡曰悼殤。嫡妻叩德氏，都統、公武納赫之女；一子：輔國將軍巴爾善。
三等輔國將軍巴爾善，巴特瑪費揚武第一子。初封輔國將軍。康熙八年，緣事革退。十九年，復封三等輔國將軍。三十四年，卒。
三等奉國將軍增盛，巴爾善第四子。康熙二十年，封三等奉國將軍。乾隆元年，卒。
奉恩將軍康泰，增盛第一子。乾隆二年，襲奉恩將軍。二十九年，因病告退。
奉恩將軍瑞松，康泰第四子。乾隆二十九年，襲奉恩將軍。嘉慶十九年，因病告退。
奉恩將軍長曉，瑞松嗣子。嘉慶十九年，襲奉恩將軍。尋卒。
奉恩將軍佑錫，長曉第一子。嘉慶十九年，襲奉恩將軍。道光二十二年，卒。無嗣。
奉恩將軍慶泰，增盛第六子。康熙五十一年，封奉恩將軍。五十六年，卒。無嗣。
三等奉國將軍永德，巴爾善第六子。康熙二十一年，封三等奉國將軍。三十六年，卒。
奉恩將軍英靜，永德第一子。康熙三十六年，襲奉恩將軍。雍正二年，卒。
奉恩將軍瑞昌，英靜第三子。雍正三年，襲奉恩將軍。乾隆五年，緣事革退。
奉恩將軍瑞華，英靜第四子。乾隆五年，襲奉恩將軍。四十九年，卒。
奉恩將軍如恆，瑞華第一子。乾隆五十年，襲奉恩將軍。嘉慶八年，卒。無嗣。
奉恩將軍格色泰,永德第四子。雍正二年，封奉恩將軍。乾隆二十四年，卒。
奉恩將軍都爾濟，格色泰第七子。乾隆二十四年，襲奉恩將軍。六十年，以罪革爵處死。
三等奉國將軍德興，巴爾善第七子。康熙二十四年，封三等奉國將軍。四十三年，因病告退。
饒餘敏親王阿巴泰，太祖第七子。初授台吉。天命十一年，封貝勒。崇德元年，封饒餘貝勒。順治元年四月，晉饒餘郡王。三年三月，薨。康熙元年，追封饒餘親王。諡曰敏。子五，第一子追封固山賢愨貝子尚建，第二子固山溫良貝子博和托，第三子追奪和碩端復位親王博洛，第四子追奪和碩安和親王(多羅安郡王)岳樂，
賢愨貝子尚建，阿巴泰第一子。丙午年九月二十六日子時生，母嫡福晉納喇氏，男三坦之女。天聰四年庚午七月二十九日丑時，卒。順治十年，追封貝子，諡曰賢愨。嫡夫人瓜爾佳氏，吳裕齊之女。二子：長子固山悼愨貝子蘇布圖,次子固山介潔貝子強度.
悼愍貝子蘇布圖，尚建第一子。初封輔國公。順治三年，以功晉貝子。五年，卒。諡曰悼愍。
鎮國公顏齡，蘇布圖子。順治九年，封鎮國公。康熙四十年，卒。無嗣。
介潔貝子強度，尚建第二子。順治六年，封貝子。八年，卒。諡曰介潔。
溫良貝子博和託，阿巴泰第二子。庚戌年正月二十四日酉時生，母嫡福晉納喇氏，男三坦之女。初封輔國公。順治元年，破李自成，以功晉貝子。八年，卒。諡曰溫良。嫡夫人舒穆祿氏，公楊古里之女。六子：長子奉恩輔國懷愨公翁古，次子奉恩輔國懷義公錦注，三子固山介潔貝子佛克齊庫，四子固山貝子彰泰，五子邦泰，六子額布赫宜。
輔國懷愍公翁古，博和託第一子。初封輔國公。順治四年，卒。諡曰懷愍。
輔國公博尼，翁古第一子。順治四年，襲輔國公。六年，卒。無嗣。
輔國懷儀公錦柱，博和託第二子。初封輔國公。順治六年，卒。諡曰懷儀。無嗣。
介潔貝子佛克齊庫博和託第三子。順治六年，封貝子。十四年，卒。諡曰介潔。無嗣。
貝子彰泰，博和託第四子。順治八年，封鎮國公。尋晉貝子。康熙二十九年，卒。
鎮國將軍百綬，彰泰第一子。康熙七年，封鎮國公。二十五年，緣事降鎮國將軍。二十七年，緣事革退。
恪敏貝子品級屯珠，彰泰第三子。康熙十一年，封鎮國公。二十七年，緣事降鎮國將軍。二十九年，襲鎮國公。五十七年，卒。追封貝子品級，諡曰恪敏。
安詹，屯珠子。
輔國恭恪公逢信，富爾都子，安詹嗣子。康熙五十七年，襲輔國公。乾隆十二年，卒。諡曰恭恪。
輔國公盛昌，逢信第二子。乾隆十二年，襲輔國公。二十二年，緣事革退。二十三年，封鎮國將軍。尋晉輔國公。五十二年，卒。
輔國公慶怡，盛昌第一子。乾隆四十九年，封二等輔國將軍。五十二年，襲輔國公。嘉慶十八年，卒。
輔國公景綸，成綿子，慶怡嗣子。嘉慶十八年，襲輔國公。道光十九年，緣事革退。
輔國公景崇，成綿子。道光十九年，襲輔國公。咸豐八年，緣事革退。
輔國公純堪，景錫子，景崇姪。咸豐九年，襲輔國公。光緒八年，卒。
輔國公麟嘉，純堪第一子。光緒九年，襲輔國公。二十七年，卒。
輔國公增培，麟嘉嗣子。光緒二十八年，襲輔國公。
二等輔國將軍麟興，純堪第二子。光緒十五年，封二等輔國將軍。光緒二十二年，卒。無嗣。
鎮國公明瑞，彰泰第五子。康熙十九年，封鎮國公。三十七年，緣事革退。
端重定親王博洛，阿巴泰第三子。癸丑年三月初四日亥時生，母嫡福晉納喇氏，男三坦之女。崇德元年，封貝子。順治元年，以功晉貝勒。四年，晉端重郡王。六年，晉端重親王。七年，緣事降郡王。八年，復親王。九年壬辰三月十六日巳時，薨。諡曰定。十六年，以罪追削爵諡。嫡福晉佟佳氏，參領李山之女；側福晉博爾濟吉特氏，男袞濟之女；庶福晉瓜兒佳氏，裴新之女；妾吳氏，吳大之女。九子：長子噶普世賢，次子庫祿克，三子根齊痕，四子追削多羅敏思郡王塔爾納,五子和圖懇，六子特蘇，七子郎柱，八子多羅懷思貝勒齊克新,九子猛庫。
敏思郡王塔爾納，博洛第四子。順治十四年，封郡王。尋薨。諡曰敏思。以父罪追削爵。
懷思貝勒齊克新，博洛第八子。順治九年，襲端重親王。十六年，以父罪降貝勒。十八年，卒。諡曰懷思，。
安和郡王岳樂，阿巴泰第四子。天命十年乙丑九月十九日午時生，母嫡福晉納喇氏，男三坦之女。初封鎮國公。順治六年，以功晉貝勒。八年，襲郡王，號曰安。十四年，晉安親王。康熙二十八年己巳二月二十四日戌時，薨諡曰和。三十九年，緣事追降郡王，奪諡。嫡福晉博爾濟吉特氏，扎薩克貝勒董戴清之女；繼福晉納喇氏，輕車都尉達爾呼他之女；三繼福晉赫舍里氏，輔政大臣、公索尼之女；側福晉烏亮海濟爾莫特氏，萬且他布囊之女；側福晉伊爾根覺羅氏，子宋郭圖之女；側福晉博爾濟吉特氏，頭等侍衛錫喇之女；庶福晉劉氏，劉芳聲之女；庶福晉卞氏，卞化鳳之女；庶福晉周氏，周雅住之女；庶福晉博爾濟吉特氏，達穆巴禮之女；庶福晉張氏，張賽褚之女；庶福晉納喇氏，恩特之女；媵妾詹氏，詹綬交之女；媵妾俞氏，俞大之女；媵妾張氏，張元聰之女。二十子二十三女，[第一子他塔海{崇德七年壬午五月十三日亥時生，母嫡福晉博爾濟吉特氏扎薩克貝勒董戴清之女；順治八年辛卯十一月二十日戌時卒，年十歲；}，第二子德素{崇德八年癸未五月初一日戌時生，母嫡福晉博爾濟吉特氏扎薩克貝勒董戴清之女，與第一子同母；順治八年辛卯十一月二十一日酉時卒，年九歲；}，第三子阿達海{順治三年丙戌四月十三日辰時生，母嫡福晉博爾濟吉特氏扎薩克貝勒董戴清之女，與第二子同母；本年十二月二十日卒； }，第四子阿裕錫{順治十四年丁酉十一月十七日午時生，母庶福晉卞氏卞化鳳之女；十六年己亥三月初五日申時卒，年三歲； }，第五子阿弼達{順治十四年丁酉十一月二十四日午時生，母庶福晉周氏周雅住之女；十五年戊戌正月十一日寅時卒，年二歲； }，第六子青盛{順治十五年戊戌二月二十四日辰時生，母庶福晉劉氏劉芳聲之女；十七年庚子十一月二十六日辰時卒，年三歲； }，第七子圖蘭塞{順治十五年戊戌三月初三日午時生，母庶福晉博爾濟吉特氏達穆巴禮之女；十七年庚子十月二十六日巳時卒，年三歲； }，第八子護軍統領、輔國將軍塞楞額，第九子雅圖{順治十六年己亥五月十六日戌時生，母庶福晉周氏周雅住之女，與第五子同母；十八年辛丑正月初七日酉時卒，年三歲；}，第十子五十八{順治十七年庚子七月初六日子時生，母庶福晉博爾濟吉特氏達穆巴禮之女，與第七子同母；十八年辛丑八月二十九日巳時卒，年二歲； }，第十一子艾滋{順治十七年庚子八月十二日未時生，母庶福晉張氏張賽褚之女，與第八子同母；十八年辛丑四月十二日午時卒，年二歲； }，第十二子布乃{順治十八年辛丑九月十二日丑時生，母側福晉烏亮海         爾莫特氏萬且他布囊之女；康熙元年壬寅四月二十四日巳時卒，年二歲； }，第十三子僧保{順治十八年辛丑十月二十六日辰時生，母庶福晉劉氏劉芳聲之女，與第六子同母；康熙七年戊申十二月二十四日未時卒，年八歲；}，第十四子瑪尼{康熙元年壬寅九月十一日辰時生，母三繼福晉赫舍里氏輔政大臣、公索尼之女；三年甲辰十月初四日卒，年三歲； }，第十五子多羅安愨郡王瑪爾琿，第十六子已革輔國將軍塞布禮，第十七子奉恩鎮國公經希，第十八子已革多羅勤郡王蘊端，第十九子務爾占{康熙十一年壬子九月二十三日巳時生，母三繼福晉赫舍里氏索尼之女，與十八子同母；雍正元年三月因罪並伊子孫黜去宗室為庶人，遣往盛京；雍正二年甲寅正月十七日巳時卒，年五十三歲；嫡妻尚氏，尚世達之女；繼妻舒穆祿氏，舒祿之女；二子：長子永年，次子德恆； }，第二十子贊扎{康熙十二年癸丑三月初一日子時生，母三繼福晉赫舍里氏索尼之女，與第十九子同母；十四年乙卯四月初四日巳時卒，年三歲；}，][第一女{順治元年甲申十一月二十日生，母嫡福晉博爾濟吉特氏扎薩克貝勒董戴清之女；六年乙丑三月卒，年六歲； }，第二女和碩柔嘉公主{順治九年壬辰五月初六日子時生，母繼福晉納喇氏輕車都尉達爾呼他之女；撫養宮中，封今位號。康熙二年癸卯，年十二。十一月，下嫁靖南王耿精忠之弟、三等子聚忠。十二年癸丑七月卒，年二十二。聚忠，順治十五年，封三等子，留侍京師。康熙七年正月，加太子少師。十三年，兄精忠應吳三桂反。四月，詔執聚忠系獄。明年七月，釋之，復官職如故。十五年正月，加太子太保。二十六年丁卯二月卒，諡愨敏。女兒耿氏嫁納蘭明珠之子納蘭揆敘； }，第三女{順治十年癸巳七月初二日辰時生，母庶福晉劉氏劉芳聲之女；康熙十二年九月，選納喇氏常保為婿；十三年正月，成婚；二十一年壬戌四月卒，年三十歲；}，第四女{順治十三年丙申十一月二十五日亥時生，母側福晉吳喇漢哲爾門氏（疑為側福晉烏亮海濟爾莫特氏，萬且他布囊之女）；康熙三年甲辰五月卒，年九歲；}，第五女{順治十五年戊戌三月十三日卯時生，母側福晉吳喇漢哲爾門氏（疑為側福晉烏亮海濟爾莫特氏，萬且他布囊之女），與第四女同母；本年四月卒；}，第六女{順治十六年二月十五日巳時生，母庶福晉劉氏劉芳聲之女，與第三女同母；康熙十四年正月，選依爾根覺羅氏奈渾為婿，本年八月成婚；四十一年五月卒，年四十四歲； }，第七女和碩格格（郡主）{順治十六年己亥八月三十日巳時生，母側福晉吳喇漢哲爾         門氏（疑為側福晉烏亮海濟爾莫特氏，萬且他布囊之女），與第五女同母；選郭絡羅氏明尚為婿，康熙十一年三月成婚；二十三年甲子五月卒，年二十六歲（女兒郭絡羅氏嫁聖祖第八子廉親王允禩為嫡福晉）； }，第八女{順治十六年己亥十月十七日酉時生，母媵妾詹氏詹綬交之女；十八年辛丑二月卒，年三歲；}，第九女{順治十七年庚子四月二十七日生，母庶福晉納喇氏恩特之女；康熙元年壬寅二月卒，年三歲；}，第十女{康熙二年癸卯九月初七日午時生，母庶福晉博爾濟吉特氏達穆巴禮之女；四年乙巳二月卒，年三歲； }，第十一女和碩格格（郡主）{康熙三年甲辰二月十二日亥時生，母三繼福晉赫舍里氏索尼之女；十九年四月，選納喇氏散騎侍郎鼐格為婿，本年十月成婚；額附二十九年庚午七月卒，郡主三十二年癸酉七月卒，年三十歲；}，第十二女{康熙四年乙巳九月十八日亥時生，母庶福晉張氏張賽褚之女；六年丁未十二月卒，年三歲；}，第十三女{康熙四年乙巳十二月十三日寅時生，母三繼福晉赫舍里氏索尼之女，與第十一女同母；二十三年甲子七月卒，年十九歲；}，第十四女{康熙五年丙午九月十三日申時生，母媵妾俞氏俞大之女；六年丁未十一月卒，年二歲；}，第十五女多羅格格（縣主）{康熙六年丁未四月初三日卯時生，母三繼福晉赫舍里氏索尼之女，與第十一女同母；二十九年，選吳喇漢氏土默土特貝勒額爾德穆圖為額附；三十年五月，成婚；縣主三十七年戊寅二月卒，年三十二歲； }，第十六女{康熙七年戊申二月十二日子時生，母庶福晉周氏周雅住之女；二十二年九月，選納喇氏二等侍衛穆採為婿；二十三年十月，成婚；三十四年乙亥六月卒，年二十八歲； }，第十七女{康熙八年己酉六月初六日戌時生，母側福晉吳喇漢哲爾門氏（疑為側福晉烏亮海濟爾莫特氏，萬且他布囊之女），與第七女同母；二十年辛酉九月卒，年十三歲；}，第十八女{康熙八年辛酉七月二十二日申時生，母三繼福晉赫舍里氏索尼之女，與第十五女同母；十年辛亥六月卒，年三歲； }，第十九女多羅格格（縣主）{康熙九年庚戌十二月二十一日戌時生，母三繼福晉赫舍里氏索尼之女，與第十八女同母，與第十八子雙生；三十年二月，選納氏席納海為額附；三十三年正月，成婚；縣主於乾隆二年丁巳十一月初一日丑時卒，年六十八歲； }，第二十女{康熙十三年甲寅二月十三日寅時生，母庶福晉周氏周雅住之女，與第十六女同母；十六年丁巳正月卒，年四歲； }，第二十一女{康熙十三年甲寅三月二十九日辰時生，母媵妾張氏張元聰之         女；二十二年癸亥六月卒，年十歲； }，第二十二女{康熙十三年甲寅十一月十九日寅時生，康熙九年庚戌十二月二十一日戌時生，母三繼福晉赫舍里氏索尼之女，與第十九女同母；十四年乙卯二月卒，年二歲；}，第二十三女多羅格格（縣主）{康熙二十二年癸亥閏六月初四日辰時生，母三繼福晉赫舍里氏索尼之女，與第二十二女同母；三十六年二月，選瓜爾佳氏侍明為額附，本年九月成婚；縣主於三十八年乙卯十二月卒，年十七歲。}，
安懿愨郡王瑪爾渾，岳樂第五子。康熙二年癸卯十一月二十九日丑時生，母三繼福晉赫舍里氏索尼之女，康熙十六年，封世子。二十九年二月，襲安郡王。四十八年己丑十一月十一日子時，薨。諡曰懿{愨}。，嫡福晉科爾沁博爾濟吉特氏，卓禮克圖親王鄂齊爾之女，繼福晉佟佳氏，內大臣國舅佟國綱之女，庶福晉臧氏，臧明執之女，庶福晉依爾根覺羅氏，護軍祾昂吉禮之女，庶福晉納喇氏，查哈拉之女，妾孟氏，孟六之女，妾郭氏，郭仲舉之女；四子：長子博爾敦，次子多羅安節郡王華圯，三子已革奉恩將軍華彬，四子延明；
安節郡王華圯，瑪爾渾第四子。康熙四十九年，襲安郡王。五十八年，薨。諡曰節。雍正元年，以岳樂罪不准襲爵。
錫貴，華圯嗣子，華斌第二子。
輔國公岱英，錫貴子。追封輔國公。
輔國公布蘭泰,岱英子。嘉慶十年，襲輔國公。道光元年，卒。
輔國公恆明，布蘭泰第四子。道光元年，襲輔國公。咸豐十年，卒。
奉國將軍裕善，恆明第一子。道光二十四年，封奉國將軍。咸豐四年，卒。
奉恩將軍惠普，裕善第一子。咸豐四年，襲奉恩將軍。
奉國將軍裕安，恆明第二子。道光三十年，封奉國將軍。光緒元年，卒。無嗣。
輔國公裕恪，恆明第三子。咸豐十一年，襲輔國公。同治十二年，卒。
輔國公意普，裕恪第二子。同治十二年，襲輔國公。
輔國公奇昆，錫貴子。乾隆四十三年，以阿巴泰、岳樂功，命奇昆襲輔國公。四十七年，卒。
輔國公崇積，奇昆第三子。乾隆四十七年，襲輔國公。嘉慶九年，緣事革退。
奉恩將軍華斌，瑪爾渾第三子。康熙四十四年，封奉恩將軍。雍正十一年，緣事革退。
三等輔國將軍色楞額，岳樂第八子。順治十五年戊戌十二月初二日寅時生，庶福晉張氏張賽褚之女；康熙十一年，封三等輔國將軍。三十七年，卒。嫡妻賈佳氏，巡撫漢復之女，妾曽氏，曽貴之女，妾徐氏，徐達之女，妾王氏，王滿滋之女；七子：長子已革奉國將軍護軍統領色痕圖，次子色克錫，三子薩圖，四子都統奉恩將軍色貝，五子赫圖，六子告退奉恩將軍務爾圖，七子恩昌； 
二等奉國將軍色痕圖，色楞額第一子。康熙二十六年，封三等奉國將軍。三十八年，襲二等。六十一年，緣事革退。
奉恩將軍熙文，色痕圖第二子。康熙五十年，封奉恩將軍。雍正三年，緣事革退。
奉恩將軍綽鼐，色痕圖第三子。康熙五十一年，封奉恩將軍。雍正元年，緣事革退。
奉恩將軍色貝，色楞額第四子。康熙四十四年，封奉恩將軍。乾隆十六年，卒。
奉恩將軍塞沖阿，色貝第十二子。乾隆十六年，襲奉恩將軍。五十八年，卒。
奉恩將軍烏爾希松阿，塞沖阿第二子。乾隆五十八年，襲奉恩將軍。嘉慶十九年，卒。無嗣。
奉恩將軍務爾圖，色楞額第六子。雍正十年，封奉恩將軍。乾隆十五年，因病告退。
奉恩將軍齡嵩，務爾圖第一子。雍正十三年，封奉恩將軍。乾隆三十六年，因病告退。
奉恩將軍達慶阿，齡嵩第一子。乾隆二十一年，封奉恩將軍。三十四年，卒。
奉恩將軍伊崇額，達慶阿子。乾隆三十六年，襲奉恩將軍。四十四年，緣事革退。
三等輔國將軍賽布禮，岳樂第十六子。康熙三年甲辰五月二十五日辰時生，母庶福晉張氏張賽褚之女，康熙十七年，封三等輔國將軍。四十七年，緣事革退。六十年辛丑三月初七日申時卒，嫡妻富察氏，護軍參領航蘇之女，妾胡氏，胡連之女，妾高氏，高德明之女，妾米氏，達林之女，妾高氏，高德明之女，妾高氏，高魁之女；八子：長子常明，次子常佳，三子望保，四子華德，五子望銘，六子副都統華珠，七子珠熙，八子華通； 
鎮國公經希，岳樂第十七子。康熙七年戊申三月二十一日子時生，母三繼福晉赫舍里氏索尼之女，康熙二十一年正月，封僖郡王。二十九年，以父罪降鎮國公。五十六年丁酉八月初五日巳時，卒。嫡妻富察氏，都統尼雅漢之女，妾李氏，李孝之女，妾依爾根覺羅氏，恩格禮之女，妾康氏，康英之女，妾李氏，李友松之女；六子：長子隆岱，次子隆雲，三子隆璵，四子隆綏，五子隆霞，六子隆調；
貝子蘊端，岳樂第十八子。康熙九年庚戌十二月二十一日戌時生，母三繼福晉赫舍里索尼之女，康熙二十三年正月，封勤郡王。二十九年二月，降貝子。三十七年四月，緣事革退。四十三年甲申三月初四日亥時卒，嫡妻納喇氏，輕車都尉查爾海之女，繼妻納喇氏，輕車都尉查爾海之女；一子：經廉； 
鎮國恪僖公巴布泰，太祖第九子。天命十一年，命理正黃旗事。天聰四年，從阿敏駐永平。明兵攻灤州，巴布泰不能御，坐罷。八年，授梅勒額真。從伐明，克保安州。巴布泰匿所獲不以聞，復坐罷。崇德六年，封三等奉國將軍。順治二年，晉一等。四年，晉輔國將軍。尋晉輔國公。八年，晉鎮國公。十二年，卒。諡曰恪僖。嫡妻李佳氏，達褚祜巴晏之女；繼妻郭絡羅氏，楊瑞之女；三娶妻費莫氏，佐領郎圖之女；四娶妻李佳氏，李綬之女；另室所居姜氏，姜秀之女；妾金氏，金瑞之女。第一子奉恩輔國公噶布喇，第二子明聆{崇德八年五月初四日亥時生，母三繼妻費莫氏，佐領郎圖之女；順治五年九月十一日丑時卒，年五歲。 }， 第三子已革鎮國將軍祜錫祿，
輔國公噶布喇,巴布泰第一子。萬曆三十八年七月十一日辰時生，母嫡妻李佳氏，達褚祜巴晏之女；初封三等奉國將軍。順治四年，晉二等。六年，晉三等鎮國將軍。八年，晉輔國公。康熙十六年十一月二十九日午時，卒。嫡妻西林覺羅氏，博爾懇之女；繼妻瓦爾克錫覺羅氏，騎都尉郎兆之女；三娶妻博爾濟吉特氏，恩吉格爾之女；四娶妻鈕祜祿氏，輕車都尉綽和洛之女；五娶妻李佳氏，巴度禮之女。五子：長子鎮國將軍輝塞，次子已革副都統、輔國將軍齊穆布，三子禮在，四子頭等侍衛發度，五子告退侍衛、輔國將軍德義。（一女崇德元年嫁科爾沁左後旗洪果爾五弟巴特瑪） 
三等鎮國將軍輝塞,噶布喇第一子。順治八年，封三等鎮國將軍。康熙三十八年，卒。
三等奉國將軍威塞,輝塞第一子。康熙七年，封三等奉國將軍。五十五年，卒。無嗣。
三等奉國將軍握內,輝塞第二子。康熙八年，封三等奉國將軍。二十九年，卒。
奉恩將軍杜穆德,握內第一子。康熙五十二年，封奉恩將軍。乾隆四年，卒。
奉恩將軍松年,杜穆德第四子。雍正十三年，封奉恩將軍。乾隆十九年，緣事革退。尋復原封。二十八年，復革退。
三等奉國將軍齊塞,輝塞第三子。康熙九年，封三等奉國將軍。四十五年，因病革退。
奉恩將軍甘笙,齊塞第一子。康熙三十六年，封奉恩將軍。四十三年，緣事革退。
奉國將軍齊爾弼,輝塞第四子。康熙十一年，封奉國將軍。三十四年，卒。無嗣。
三等輔國將軍齊穆布,噶布蘭第二子。康熙五年，封三等輔國將軍。四十六年，緣事革退。
三等奉國將軍索達塞,齊穆布第一子。康熙二十年，封三等奉國將軍。四十四年，緣事革退。
奉恩將軍寶善,索達塞第一子。康熙四十一年，封奉恩將軍。雍正十三年，因病告退。
奉恩將軍沙爾伸,寶善第二子。乾隆元年，襲奉恩將軍。四十年，緣事革退。
佛常,寶善子。
奉恩將軍那爾慎,佛常子。乾隆四十一年，襲奉恩將軍。嘉慶七年，卒。
奉恩將軍松吉,那爾慎第一子。嘉慶七年，襲奉恩將軍。咸豐四年，卒。
奉恩將軍清凱,松吉子。咸豐五年，襲奉恩將軍。光緒十三年，卒。
奉恩將軍聯福,清凱子。光緒十三年，襲奉恩將軍。
奉恩將軍寶良,索達塞第二子。康熙四十九年，封奉恩將軍。雍正十三年，卒。
奉恩將軍尚金,寶良第一子。乾隆元年，襲奉恩將軍。十年，卒。
奉恩將軍隆泰,尚金第一子。乾隆十年，襲奉恩將軍。五十八年，卒。襲次已盡，不襲。
奉恩將軍裕英,索達塞第三子。雍正三年，封奉恩將軍。乾隆十八年，卒。
奉恩將軍敬文,裕英第四子。乾隆十八年，襲奉恩將軍。三十五年，卒。無嗣。
奉恩將軍寶德,索達塞第四子。雍正七年，封奉恩將軍。十二年，卒。無嗣。
三等奉國將軍勒特渾,齊穆布第二子。康熙二十二年，封三等奉國將軍。六十一年，卒。
奉恩將軍昂阿圖,勒特渾第一子。康熙五十四年，封奉恩將軍。乾隆二十年，卒。
奉恩將軍經英,昂阿圖第五子。乾隆二十年，襲奉恩將軍。三十四年，卒。
奉恩將軍嵩惠,經英第二子。乾隆三十六年，襲奉恩將軍。五十五年，卒。無嗣。
三等奉國將軍亨德,齊穆布第三子。康熙二十四年，封三等奉國將軍。乾隆元年，卒。
奉恩將軍穆錫,亨德第二子。雍正十三年，封奉恩將軍。乾隆四十年，緣事革退。
二等輔國將軍發度,噶布喇第四子。康熙十年，封輔國將軍。三十五年，以昭莫多軍功晉二等。四十年，緣事革退。五十一年，卒。
三等奉國將銘全,發度第一子。康熙三十九年，封三等奉國將軍。乾隆十二年，卒。
奉恩將軍和正額,銘全第四子。乾隆十三年，襲奉恩將軍。嘉慶十四年，卒。
莊泰,和正額子。
奉恩將軍桓矩,莊泰子。嘉慶十四年，襲奉恩將軍。咸豐二年，緣事革退。
三等輔國將軍德儀,噶布喇第五子。康熙十七年，襲三等輔國將軍。四十一年，因病革退。
奉國將軍尚寶建德儀第四子。康熙五十七年，襲奉國將軍。乾隆二十一年，卒。
奉恩將軍格圖肯,尚寶建子。乾隆二十一年，襲奉恩將軍。尋以罪處死，黜宗室。
二等奉國將軍拉善,德儀第五子。雍正三年，封二等奉國將軍。乾隆二年，卒。
奉恩將軍勒克,拉善第一子。乾隆三年，襲奉恩將軍。四十六年，卒。
奉恩將軍雙貴,拉善第二子。乾隆八年，封奉恩將軍。二十三年，卒。
奉恩將軍佛爾恆額,雙貴第一子。乾隆二十四年，襲奉恩將軍。二十八年，卒。
奉恩將軍蒙額圖,雙貴第三子。乾隆二十八年，襲奉恩將軍。嘉慶十六年，卒。
奉恩將軍富康阿,蒙額圖第二子。嘉慶十七年，襲奉恩將軍。十八年，卒。
奉恩將軍西林布,富康阿第一子。嘉慶十八年，襲奉恩將軍。二十年，卒。無嗣。
奉恩將軍景安,拉善第三子。乾隆九年，封奉恩將軍。二十四年，緣事革退。
三等鎮國將軍祜錫祿,巴布泰第三子。順治十一年五月初五日寅時生，母四繼妻李佳氏，李綬之女；順治十三年，襲三等鎮國將軍。康熙三十四年，緣事革退。康熙三十七年八月十九日申時卒，嫡妻鈕祜祿氏，都統喇哈達之女；媵妾唐氏，唐珊之女，媵妾潘氏，潘之桂之女；媵妾陳氏，陳誠祜之女；五子：長子輔國將軍富良，次子沙拉，三子二等侍衛阿唐阿，四子阿達，五子阿松阿。
三等輔國將軍富良,祜錫祿第一子。康熙二十六年，封三等輔國將軍。三十九年，卒。
三等奉國將軍尼雅翰,富良第二子。康熙三十九年，襲三等奉國將軍。雍正五年，卒。
